sample	input	filtered	denoisedF	denoisedR	merged	nonchim	perc_retained
plaqueX-llerch96-cb17A4	25651	19621	18828	18583	15646	15314	59.7013761646719
SG-CG15A2	31711	26790	26175	26396	24524	24123	76.0713947841443
SG-CG15A3	37572	30531	29444	29839	26146	25092	66.7837751517087
SG-CG15S1	44803	36082	35401	35542	32719	30613	68.3280137490793
SG-CG15S2	35479	29801	28926	29116	26080	25406	71.6085571746667
vmCB14A0	24847	20593	20124	20149	18897	18733	75.3934076548477
vmCB14S0	32221	26678	25774	25893	23093	22866	70.9661400949691
vmCB17S0	28568	22975	22951	22927	22528	22524	78.8434612153458
vmCB17S3	30692	23739	23503	23509	21922	21876	71.2759025153134
vmCB26A0	25911	21516	21073	21170	19505	19279	74.4046929875342
vmCB26S0	28532	23336	23184	23121	21661	21417	75.063087060143
vmCB26S1	48538	39449	39278	39265	36947	36709	75.6294037661214
vmCB26S2	27175	22425	21925	22103	20667	20475	75.344986200552
vmCB26S4	25344	20222	20182	20165	19594	19511	76.9846906565657
vmCB30A11	31427	25271	24723	24837	23267	23028	73.2745728195501
vmCB30S0	30047	24956	24836	24758	24160	24129	80.3041901021733
vmCB30S1	28629	24039	23957	23949	23160	22847	79.8036955534598
vmCC15S0	35023	27667	26644	26773	23495	22911	65.4170116780402
vmCC27S0	32884	26449	26172	26154	24887	24720	75.1733365770587
vmCC27S1	24833	20506	20287	20237	19352	19199	77.3124471469416
vmCG15A3	33049	27648	27042	27106	25278	25010	75.6755121183697
vmCG25S0	46559	33331	33083	33141	32167	31767	68.2295581949784
vmCG25S5	27432	22345	22332	22327	22112	22105	80.5810731991834
vmCP12S2	22869	19279	18494	18603	15897	15555	68.0178407451135
vmCP17S6	30425	24163	24026	24020	21586	21571	70.898931799507
vmCP26A3	34525	26138	25438	25443	22551	21758	63.020999275887
vmCP26S0	43101	32022	31768	31697	30515	30274	70.239669613234
XlerchA10	44062	30165	28409	28002	23621	23045	52.301302709818
XlerchA11	48484	31438	30752	30339	27292	26195	54.0281329923274
XlerchA12	34952	26551	26162	25709	23151	22801	65.2351796749828
XlerchB10	32949	24466	24045	23625	21203	20862	63.3160338705272
XlerchB11	40830	30183	30010	29895	28751	28467	69.7207935341661
XlerchB12	33631	24625	23948	23640	20139	19635	58.3836341470667
XlerchC10	41336	28447	27771	27404	24300	22943	55.5036771821173
XlerchC11	30353	22728	22210	21573	18863	18355	60.4717820314302
XlerchC12	28436	21306	20718	20203	17595	17272	60.7399071599381
XlerchD11	34237	25799	25430	24996	22705	21592	63.0662733300231
XlerchD12	33282	25482	24646	24351	20788	18557	55.7568655729824
XlerchE10	37431	27604	27121	26666	23918	23097	61.7055381902701
XlerchE11	38225	27748	27410	27108	24474	24023	62.8463047743623
XlerchE12	34736	24277	23667	23327	20571	19952	57.4389682174113
XlerchF10	43077	31200	30417	30203	27536	26665	61.9007823200316
XlerchF11	34669	25816	25015	24535	21516	20956	60.4459315238397
XlerchF12	39749	28838	27536	26812	21215	20552	51.7044453948527
XlerchG10	53434	36714	35147	34732	29100	24708	46.2402215817644
XlerchG11	41221	29961	29491	29183	26853	24679	59.8699691904612
XlerchG12	38609	27125	26137	26135	22971	21460	55.5828951798803
XlerchG9	48235	35620	34990	34516	30561	29699	61.5714729967866
XlerchH10	37320	28109	26537	25952	21380	20952	56.1414790996785
XlerchH11	49432	33720	32820	32466	27378	26519	53.6474348600097
XlerchH12	45524	31520	30664	30367	26343	24736	54.3361743256304
XlerchH9	39480	27160	26655	26523	24287	23412	59.3009118541033
